id_field,crop_season,village,soil,area,tillage_system,CA_year,x24d,glypho,manure,urea,npk,nitrogen,rain_sow,rain_flow,rain_cycle,rain_year,yield,tillage_ca,tillage_till,village_grouped,village_Ambohimiarina,village_Ambohitsilaozana,village_Ambongabe,village_Ampitatsimo,village_Antsahamamy,soil_hillside,soil_lowland,CA_year_num,x24d_bin,glypho_bin,interaction_till_rain_sow,interaction_ca_rain_sow,interaction_till_rain_flow,interaction_ca_rain_flow,interaction_till_rain_cycle,interaction_ca_rain_cycle,interaction_till_rain_year,interaction_ca_rain_year,interaction_till_nitrogen,interaction_ca_nitrogen,interaction_till_area,interaction_ca_area,ratio_N_urea,ratio_N_manure,total_npk,sow_day_of_year,rain_cycle_squared,nitrogen_squared,area_squared,interaction_rain_nitrogen,interaction_rain_area,water_stress
F2006070001,Y06_07,Antsahamamy,hillside,10.0,till,Y0,N,N,1666.7,70.0,150.0,48.7,65.2,225.5,1263.0,1331.2,3150.0,False,True,Antsahamamy,False,False,False,False,True,True,False,0,0,0,65.2,0.0,225.5,0.0,1263.0,0.0,1331.2,0.0,48.7,0.0,10.0,0.0,0.695704347080756,0.029219398080399545,150.0,361,1595169.0,2371.69,100.0,61508.100000000006,12630.0,0
F2006070002,Y06_07,Antsahamamy,hillside,15.0,ca,Y1,N,N,2500.0,0.0,0.0,0.0,63.7,103.5,1263.0,1331.2,805.0,True,False,Antsahamamy,False,False,False,False,True,True,False,1,0,0,0.0,63.7,0.0,103.5,0.0,1263.0,0.0,1331.2,0.0,0.0,0.0,15.0,0.0,0.0,0.0,360,1595169.0,0.0,225.0,0.0,18945.0,0
F2006070003,Y06_07,Antsahamamy,lowland,3.1,till,Y0,N,N,4166.7,0.0,64.7,7.117,44.7,6.0,1307.7,1331.2,3786.4,False,True,Antsahamamy,False,False,False,False,True,False,True,0,0,0,44.7,0.0,6.0,0.0,1307.7,0.0,1331.2,0.0,7.117,0.0,3.1,0.0,7117.0,0.0017080659255367737,64.7,354,1710079.29,50.651689,9.610000000000001,9306.9009,4053.8700000000003,0
F2006070004,Y06_07,Antsahamamy,lowland,6.3,till,Y0,N,N,4000.0,31.7,47.6,19.818,44.7,6.0,1307.7,1331.2,3714.3,False,True,Antsahamamy,False,False,False,False,True,False,True,0,0,0,44.7,0.0,6.0,0.0,1307.7,0.0,1331.2,0.0,19.818,0.0,6.3,0.0,0.6251537806378348,0.00495449876137531,47.6,354,1710079.29,392.75312400000007,39.69,25915.998600000003,8238.51,0
F2006070005,Y06_07,Antsahamamy,hillside,41.0,till,Y0,N,N,3225.8,36.6,73.2,24.888,44.7,6.0,1307.7,1331.2,3248.8,False,True,Antsahamamy,False,False,False,False,True,True,False,0,0,0,44.7,0.0,6.0,0.0,1307.7,0.0,1331.2,0.0,24.888,0.0,41.0,0.0,0.6799814212726429,0.007715293038845235,73.2,355,1710079.29,619.4125440000001,1681.0,32546.037600000003,53615.700000000004,0
F2006070006,Y06_07,Antsahamamy,lowland,4.2,till,Y0,N,N,9523.8,47.6,95.2,32.368,49.5,6.0,1307.7,1331.2,2142.9,False,True,Antsahamamy,False,False,False,False,True,False,True,0,0,0,49.5,0.0,6.0,0.0,1307.7,0.0,1331.2,0.0,32.368,0.0,4.2,0.0,0.6799857145858281,0.0033986430417855228,95.2,352,1710079.29,1047.6874240000002,17.64,42327.6336,5492.34,0
F2006070007,Y06_07,Antsahamamy,hillside,15.0,till,Y0,N,N,3333.3,100.0,100.0,57.0,49.5,6.0,1307.7,1331.2,1500.0,False,True,Antsahamamy,False,False,False,False,True,True,False,0,0,0,49.5,0.0,6.0,0.0,1307.7,0.0,1331.2,0.0,57.0,0.0,15.0,0.0,0.5699943000569994,0.017100165871608952,100.0,353,1710079.29,3249.0,225.0,74538.90000000001,19615.5,0
F2006070008,Y06_07,Antsahamamy,hillside,10.8,till,Y0,N,N,3333.3,0.0,55.6,6.116,44.7,6.0,1307.7,1331.2,1805.6,False,True,Antsahamamy,False,False,False,False,True,True,False,0,0,0,44.7,0.0,6.0,0.0,1307.7,0.0,1331.2,0.0,6.116,0.0,10.8,0.0,6115.999999999999,0.0018348177977326376,55.6,354,1710079.29,37.405455999999994,116.64000000000001,7997.8931999999995,14123.160000000002,0
F2006070009,Y06_07,Antsahamamy,lowland,8.0,till,Y0,N,N,4166.7,50.0,125.0,36.75,72.3,280.0,1263.0,1331.2,3500.0,False,True,Antsahamamy,False,False,False,False,True,False,True,0,0,0,72.3,0.0,280.0,0.0,1263.0,0.0,1331.2,0.0,36.75,0.0,8.0,0.0,0.7349853002939941,0.008819927323798852,125.0,363,1595169.0,1350.5625,64.0,46415.25,10104.0,0
F2006070010,Y06_07,Antsahamamy,hillside,6.0,till,Y0,N,N,4166.7,33.3,0.0,15.318,17.8,305.6,1323.0,1331.2,2816.7,False,True,Antsahamamy,False,False,False,False,True,True,False,0,0,0,17.8,0.0,305.6,0.0,1323.0,0.0,1331.2,0.0,15.318,0.0,6.0,0.0,0.45998618660100304,0.003676289707372811,0.0,340,1750329.0,234.641124,36.0,20265.714,7938.0,0
