iter	RMSE
0	904.4702005
1	902.2014064
2	899.9284724
3	897.8601671
4	895.7279952
5	893.5167862
6	891.8113252
7	889.7451299
8	887.9767573
9	886.2595973
10	884.4681873
11	883.0255386
12	881.435022
13	879.8787876
14	878.1886807
15	876.7845779
16	875.3016213
17	874.068949
18	872.9276908
19	871.5848697
20	870.3429374
21	869.0720478
22	867.7270029
23	866.2783188
24	864.7225775
25	863.8255722
26	862.9040549
27	861.8268458
28	860.7146289
29	859.6883427
30	858.813016
31	857.8086189
32	857.1349827
33	856.1631803
34	855.332945
35	854.3591675
36	853.5883915
37	852.6841729
38	851.8209425
39	851.1220054
40	850.3556594
41	849.3540667
42	848.5791424
43	847.9676974
44	847.2680771
45	846.3169591
46	845.728132
47	845.0231274
48	844.2976268
49	843.4486582
50	842.8967945
51	842.3138886
52	841.840706
53	841.2931849
54	840.4368548
55	839.6819397
56	839.1537327
57	838.6997129
58	838.2110453
59	837.6701564
60	837.2488451
61	836.733148
62	836.1756959
63	835.6848636
64	835.1772941
65	834.5983017
66	834.1650527
67	833.4597487
68	832.9912618
69	832.2077998
70	831.6010596
71	830.9953724
72	830.4834637
73	830.00314
74	829.5721688
75	828.9966596
76	828.5014947
77	828.1018524
78	827.6061394
79	827.2038836
80	826.8425188
81	826.3817017
82	825.8855822
83	825.5246924
84	825.2672724
85	824.8849149
86	824.3356697
87	823.8779494
88	823.581937
89	823.1923344
90	822.7113623
91	822.3856939
92	822.0914959
93	821.6494338
94	821.3733914
95	821.0432063
96	820.7268867
97	820.2965848
98	819.8669368
99	819.6365482
100	819.0905537
101	818.8781956
102	818.396464
103	818.0179388
104	817.7047175
105	817.2665032
106	816.9505698
107	816.5898337
108	816.2828761
109	816.0631961
110	815.8288693
111	815.6734184
112	815.3221985
113	814.9657193
114	814.7079124
115	814.417613
116	814.2149675
117	814.0213011
118	813.8315247
119	813.5997635
120	813.2936583
121	813.0493428
122	812.7948845
123	812.5434391
124	812.3558698
125	812.152495
126	811.9107045
127	811.6359485
