iter	Passed	Remaining
0	5	2215
1	9	2132
2	14	2069
3	21	2281
4	26	2246
5	31	2261
6	36	2228
7	40	2192
8	46	2231
9	52	2223
10	57	2217
11	61	2176
12	67	2189
13	72	2184
14	76	2165
15	84	2215
16	88	2193
17	94	2193
18	101	2225
19	106	2217
20	113	2243
21	121	2286
22	127	2290
23	132	2285
24	137	2265
25	143	2260
26	149	2269
27	154	2255
28	161	2266
29	167	2268
30	171	2249
31	179	2272
32	183	2251
33	188	2239
34	195	2247
35	200	2237
36	205	2225
37	212	2232
38	217	2216
39	221	2202
40	230	2222
41	235	2210
42	242	2220
43	247	2208
44	252	2200
45	259	2205
46	264	2192
47	268	2179
48	275	2184
49	280	2172
50	285	2157
51	290	2152
52	295	2139
53	300	2127
54	304	2117
55	309	2105
56	313	2093
57	318	2081
58	323	2071
59	327	2060
60	332	2049
61	337	2039
62	341	2029
63	346	2020
64	351	2010
65	355	2000
66	360	1989
67	364	1979
68	369	1972
69	374	1962
70	378	1952
71	383	1945
72	389	1941
73	394	1936
74	399	1927
75	404	1919
76	408	1909
77	413	1900
78	417	1892
79	422	1883
80	426	1875
81	431	1867
82	436	1859
83	440	1851
84	445	1843
85	449	1834
86	453	1826
87	458	1818
88	463	1810
89	467	1803
90	472	1796
91	477	1789
92	481	1781
93	486	1774
94	490	1767
95	495	1759
96	499	1752
97	504	1745
98	508	1737
99	513	1730
100	517	1722
101	522	1714
102	526	1707
103	530	1700
104	535	1693
105	539	1685
106	544	1678
107	548	1671
108	553	1664
109	557	1657
110	562	1650
111	566	1643
112	570	1637
113	575	1630
114	580	1624
115	585	1618
116	589	1612
117	594	1606
118	598	1599
119	603	1593
120	607	1587
121	612	1580
122	616	1574
123	621	1568
124	625	1562
125	630	1555
126	634	1549
127	639	1542
128	643	1537
129	648	1530
130	652	1524
131	657	1518
132	661	1512
133	666	1506
134	670	1500
135	675	1495
136	679	1488
137	684	1482
138	688	1476
139	693	1470
140	697	1464
141	702	1458
142	706	1453
143	711	1447
144	715	1441
145	720	1435
146	725	1430
147	729	1424
148	734	1420
149	739	1414
150	743	1408
151	747	1402
152	752	1396
153	756	1390
154	761	1385
155	766	1379
156	770	1374
157	774	1368
158	779	1363
159	784	1357
160	788	1352
161	793	1346
162	797	1340
163	803	1337
164	808	1332
165	813	1328
166	818	1324
167	823	1318
168	828	1313
169	835	1312
170	840	1306
171	844	1301
172	852	1300
173	856	1295
174	862	1291
175	867	1287
176	874	1285
177	882	1284
178	887	1278
179	891	1273
180	898	1271
181	907	1271
182	913	1268
183	923	1269
184	929	1265
185	935	1262
186	941	1258
187	947	1255
188	953	1251
189	960	1248
190	965	1243
191	972	1240
192	978	1236
193	984	1232
194	989	1228
195	996	1225
196	1002	1221
197	1009	1218
198	1015	1214
199	1021	1210
200	1027	1206
201	1033	1202
202	1040	1198
203	1046	1195
204	1052	1191
205	1058	1186
206	1064	1182
207	1069	1177
208	1075	1173
209	1081	1169
210	1086	1163
211	1091	1158
212	1096	1152
213	1100	1146
214	1105	1141
215	1110	1135
216	1114	1130
217	1120	1125
218	1124	1119
219	1129	1113
220	1134	1108
221	1138	1103
222	1144	1097
223	1149	1092
224	1155	1088
225	1159	1082
226	1164	1077
227	1169	1072
228	1174	1066
229	1178	1060
230	1183	1055
231	1189	1050
232	1193	1045
233	1198	1039
234	1203	1034
235	1207	1028
236	1212	1022
237	1216	1017
238	1221	1011
239	1225	1006
240	1230	1000
241	1234	995
242	1239	989
243	1243	983
244	1248	978
245	1252	972
246	1257	967
247	1261	961
248	1266	956
249	1271	951
250	1275	945
251	1280	940
252	1285	934
253	1289	929
254	1294	923
255	1299	918
256	1304	913
257	1309	908
258	1313	903
259	1318	897
260	1323	892
261	1328	887
262	1333	882
263	1337	876
264	1342	871
265	1347	866
266	1352	861
267	1358	856
268	1364	852
269	1369	847
270	1374	841
271	1380	837
272	1384	831
273	1389	826
274	1396	822
275	1401	817
276	1405	811
277	1414	808
278	1418	803
279	1422	797
280	1430	794
281	1435	788
282	1441	784
283	1447	779
284	1451	774
285	1458	770
286	1464	765
287	1469	760
288	1477	756
289	1481	751
290	1486	745
291	1493	741
292	1498	736
293	1502	730
294	1515	729
295	1523	725
296	1527	720
297	1532	714
298	1539	710
299	1544	705
300	1548	699
301	1553	694
302	1558	689
303	1563	683
304	1568	678
305	1572	673
306	1578	668
307	1583	663
308	1587	657
309	1592	652
310	1597	647
311	1601	641
312	1606	636
313	1610	630
314	1615	625
315	1619	620
316	1623	614
317	1628	609
318	1633	604
319	1638	598
320	1642	593
321	1646	588
322	1651	582
323	1655	577
324	1660	572
325	1664	566
326	1669	561
327	1673	556
328	1678	550
329	1682	545
330	1687	540
331	1691	534
332	1696	529
333	1700	524
334	1704	519
335	1709	513
336	1713	508
337	1718	503
338	1723	498
339	1727	492
340	1731	487
341	1736	482
342	1741	477
343	1745	471
344	1750	466
345	1754	461
346	1759	456
347	1763	451
348	1768	445
349	1772	440
350	1777	435
351	1781	430
352	1786	425
353	1791	419
354	1795	414
355	1800	409
356	1804	404
357	1808	399
358	1813	394
359	1817	388
360	1822	383
361	1826	378
362	1831	373
363	1835	368
364	1840	363
365	1845	358
366	1851	353
367	1855	347
368	1860	342
369	1864	337
370	1869	332
371	1873	327
372	1879	322
373	1883	317
374	1888	312
375	1893	307
376	1898	302
377	1902	297
378	1907	291
379	1911	286
380	1916	281
381	1920	276
382	1925	271
383	1929	266
384	1934	261
385	1938	256
386	1943	251
387	1947	245
388	1952	240
389	1957	235
390	1961	230
391	1966	225
392	1971	220
393	1975	215
394	1980	210
395	1984	205
396	1989	200
397	1994	195
398	1998	190
399	2003	185
400	2009	180
401	2015	175
402	2020	170
403	2025	165
404	2033	160
405	2038	155
406	2043	150
407	2049	145
408	2054	140
409	2060	135
410	2066	130
411	2070	125
412	2077	120
413	2082	115
414	2087	110
415	2094	105
416	2099	100
417	2103	95
418	2110	90
419	2115	85
420	2119	80
421	2126	75
422	2131	70
423	2136	65
424	2144	60
425	2150	55
426	2156	50
427	2162	45
428	2167	40
429	2174	35
430	2179	30
431	2183	25
432	2190	20
433	2195	15
434	2199	10
435	2206	5
436	2210	0
