area,manure,urea,npk,nitrogen,rain_sow,rain_flow,rain_cycle,rain_year,tillage_ca,tillage_till,village_Ambohimiarina,village_Ambohitsilaozana,village_Ambongabe,village_Ampitatsimo,village_Antsahamamy,soil_hillside,soil_lowland,CA_year_num,x24d_bin,glypho_bin,interaction_till_rain_sow,interaction_ca_rain_sow,interaction_till_rain_flow,interaction_ca_rain_flow,interaction_till_rain_cycle,interaction_ca_rain_cycle,interaction_till_rain_year,interaction_ca_rain_year,interaction_till_nitrogen,interaction_ca_nitrogen,interaction_till_area,interaction_ca_area,ratio_N_urea,ratio_N_manure,total_npk,sow_day_of_year,rain_cycle_squared,nitrogen_squared,area_squared,interaction_rain_nitrogen,interaction_rain_area,water_stress
22.0,0.0,45.5,90.9,30.929,169.0,40.6,926.6,1062.2,False,True,True,False,False,False,False,False,True,0,0,0,169.0,0.0,40.6,0.0,926.6,0.0,1062.2,0.0,30.929,0.0,22.0,0.0,0.6797433023450034,30928.999999999996,90.9,362,858587.56,956.603041,484.0,28658.8114,20385.2,0
0.3,0.0,0.0,0.0,0.0,33.4,363.2,896.2,1105.0,True,False,True,False,False,False,False,False,True,3,1,1,0.0,33.4,0.0,363.2,0.0,896.2,0.0,1105.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,355,803174.4400000001,0.0,0.09,0.0,268.86,0
50.0,1666.7,0.0,0.0,0.0,49.5,6.0,1307.7,1331.2,False,True,False,False,False,False,True,True,False,0,0,0,49.5,0.0,6.0,0.0,1307.7,0.0,1331.2,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,352,1710079.29,0.0,2500.0,0.0,65385.0,0
0.1,200.0,2.5,0.0,1.15,13.1,3.1,933.3,1142.3,True,False,False,False,False,False,True,False,True,1,0,0,0.0,13.1,0.0,3.1,0.0,933.3,0.0,1142.3,0.0,1.15,0.0,0.1,0.45981607357057175,0.005749971250143749,0.0,353,871048.8899999999,1.3224999999999998,0.010000000000000002,1073.2949999999998,93.33,0
20.0,1200.0,0.0,150.0,16.5,111.0,82.0,824.0,875.4,False,True,False,False,False,False,True,False,True,0,0,0,111.0,0.0,82.0,0.0,824.0,0.0,875.4,0.0,16.5,0.0,20.0,0.0,16500.0,0.013749988541676215,150.0,355,678976.0,272.25,400.0,13596.0,16480.0,0
7.0,1666.7,0.0,0.0,0.0,43.5,62.8,925.4,1108.4,False,True,False,False,True,False,False,False,True,0,0,0,43.5,0.0,62.8,0.0,925.4,0.0,1108.4,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,354,856365.1599999999,0.0,49.0,0.0,6477.8,0
3.9,0.0,77.3,154.6,52.564,168.2,5.4,817.8,1062.2,True,False,True,False,False,False,False,False,True,1,0,1,0.0,168.2,0.0,5.4,0.0,817.8,0.0,1062.2,0.0,52.564,0.0,3.9,0.6799912032185871,52564.0,154.6,6,668796.84,2762.974096,15.209999999999999,42986.839199999995,3189.4199999999996,0
9.1,2738.2,32.9,65.7,22.361,86.9,1.2,665.5,844.8,False,True,False,True,False,False,False,False,True,0,0,0,86.9,0.0,1.2,0.0,665.5,0.0,844.8,0.0,22.361,0.0,9.1,0.0,0.6796449955928392,0.008166310654331073,65.7,3,442890.25,500.01432100000005,82.80999999999999,14881.2455,6056.05,1
0.5,0.0,0.0,0.0,0.0,90.0,34.4,928.6,1105.0,False,True,True,False,False,False,False,False,True,0,0,0,90.0,0.0,34.4,0.0,928.6,0.0,1105.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,345,862297.9600000001,0.0,0.25,0.0,464.3,0
0.2,0.0,0.0,0.0,0.0,37.2,346.2,803.5,939.0,False,True,False,False,False,False,True,False,True,0,0,0,37.2,0.0,346.2,0.0,803.5,0.0,939.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,358,645612.25,0.0,0.04000000000000001,0.0,160.70000000000002,1
4.8,4968.9,0.0,0.0,0.0,168.0,30.6,757.7,806.1,True,False,False,False,True,False,False,False,True,3,1,1,0.0,168.0,0.0,30.6,0.0,757.7,0.0,806.1,0.0,0.0,0.0,4.8,0.0,0.0,0.0,357,574109.29,0.0,23.04,0.0,3636.96,1
57.0,3156.2,78.9,136.8,51.342,81.5,82.0,824.0,875.4,True,False,False,False,False,False,True,False,True,2,1,0,0.0,81.5,0.0,82.0,0.0,824.0,0.0,875.4,0.0,51.342,0.0,57.0,0.6507141861319881,0.016267024818761543,136.8,354,678976.0,2636.000964,3249.0,42305.808,46968.0,0
6.5,3225.8,0.0,76.9,8.459,6.2,142.0,1132.1,1288.7,False,True,True,False,False,False,False,True,False,0,0,0,6.2,0.0,142.0,0.0,1132.1,0.0,1288.7,0.0,8.459,0.0,6.5,0.0,8459.0,0.002622294431677589,76.9,350,1281650.4099999997,71.55468099999999,42.25,9576.433899999998,7358.65,0
0.2,0.0,0.0,0.0,0.0,31.3,107.2,709.6,1142.3,False,True,False,False,False,False,True,True,False,0,0,0,31.3,0.0,107.2,0.0,709.6,0.0,1142.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,329,503532.16000000003,0.0,0.04000000000000001,0.0,141.92000000000002,1
8.0,3125.0,37.5,50.0,22.75,129.0,8.6,704.4,1062.2,True,False,True,False,False,False,False,False,True,1,0,0,0.0,129.0,0.0,8.6,0.0,704.4,0.0,1062.2,0.0,22.75,0.0,8.0,0.6066504893202849,0.007279997670400745,50.0,10,496179.36,517.5625,64.0,16025.1,5635.2,1
0.1,0.0,0.0,0.0,0.0,31.6,339.4,894.2,1105.0,True,False,True,False,False,False,False,False,True,1,0,0,0.0,31.6,0.0,339.4,0.0,894.2,0.0,1105.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,361,799593.6400000001,0.0,0.010000000000000002,0.0,89.42000000000002,0
0.2,0.0,0.0,0.0,0.0,119.8,4.2,1041.8,1105.0,False,True,True,False,False,False,False,False,True,0,0,0,119.8,0.0,4.2,0.0,1041.8,0.0,1105.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,334,1085347.24,0.0,0.04000000000000001,0.0,208.36,0
0.2,0.0,0.0,0.0,0.0,131.0,2.4,962.2,1105.0,False,True,True,False,False,False,False,False,True,0,1,0,131.0,0.0,2.4,0.0,962.2,0.0,1105.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,339,925828.8400000001,0.0,0.04000000000000001,0.0,192.44000000000003,0
40.0,3225.8,75.0,125.0,48.25,28.2,210.0,1144.3,1288.7,True,False,True,False,False,False,False,False,True,3,1,0,0.0,28.2,0.0,210.0,0.0,1144.3,0.0,1288.7,0.0,48.25,0.0,40.0,0.6433247556699243,0.014957525278217719,125.0,340,1309422.49,2328.0625,1600.0,55212.475,45772.0,0
0.9,0.0,0.0,0.0,0.0,104.4,21.0,914.6,1331.4,True,False,True,False,False,False,False,False,True,3,0,1,0.0,104.4,0.0,21.0,0.0,914.6,0.0,1331.4,0.0,0.0,0.0,0.9,0.0,0.0,0.0,323,836493.16,0.0,0.81,0.0,823.14,0
0.1,0.0,0.0,0.0,0.0,90.0,34.4,928.6,1105.0,False,True,True,False,False,False,False,False,True,0,0,0,90.0,0.0,34.4,0.0,928.6,0.0,1105.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,345,862297.9600000001,0.0,0.010000000000000002,0.0,92.86000000000001,0
8.0,3125.0,75.0,75.0,42.75,162.6,45.0,870.8,1062.2,False,True,True,False,False,False,False,False,True,0,0,1,162.6,0.0,45.0,0.0,870.8,0.0,1062.2,0.0,42.75,0.0,8.0,0.0,0.5699924001013319,0.0136799956224014,75.0,363,758292.6399999999,1827.5625,64.0,37226.7,6966.4,0
15.0,0.0,0.0,100.0,11.0,167.6,41.8,931.0,1062.2,False,True,True,False,False,False,False,False,True,0,1,0,167.6,0.0,41.8,0.0,931.0,0.0,1062.2,0.0,11.0,0.0,15.0,0.0,11000.0,11000.0,100.0,360,866761.0,121.0,225.0,10241.0,13965.0,0
22.0,0.0,40.9,0.0,18.814,2.0,122.2,1013.2,1062.2,True,False,True,False,False,False,False,False,True,3,0,0,0.0,2.0,0.0,122.2,0.0,1013.2,0.0,1062.2,0.0,18.814,0.0,22.0,0.4599887533312144,18814.0,0.0,331,1026574.2400000001,353.966596,484.0,19062.344800000003,22290.4,0
0.3,0.0,0.0,0.0,0.0,20.5,133.9,929.1,1089.9,False,True,False,True,False,False,False,False,True,0,0,0,20.5,0.0,133.9,0.0,929.1,0.0,1089.9,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,352,863226.81,0.0,0.09,0.0,278.73,0
18.0,1666.7,120.0,244.4,82.084,89.4,180.0,1106.1,1288.7,False,True,True,False,False,False,False,False,True,0,0,0,89.4,0.0,180.0,0.0,1106.1,0.0,1288.7,0.0,82.084,0.0,18.0,0.0,0.6840276331030575,0.04924938546265947,244.4,335,1223457.2099999997,6737.783056,324.0,90793.1124,19909.8,0
50.0,1500.0,60.0,50.0,33.1,0.0,291.3,803.9,844.8,True,False,False,True,False,False,False,False,True,2,1,1,0.0,0.0,0.0,291.3,0.0,803.9,0.0,844.8,0.0,33.1,0.0,50.0,0.5516574723754605,0.022066651955565363,50.0,346,646255.21,1095.6100000000001,2500.0,26609.09,40195.0,0
32.9,2276.9,30.4,0.0,13.984,3.4,298.3,803.72,844.8,False,True,False,True,False,False,False,False,True,0,0,0,3.4,0.0,298.3,0.0,803.72,0.0,844.8,0.0,13.984,0.0,32.9,0.0,0.4599848689187856,0.006141681171030272,0.0,339,645965.8384,195.552256,1082.4099999999999,11239.22048,26442.388,1
0.2,1000.0,0.0,0.0,0.0,92.1,106.8,929.3,1142.3,False,True,False,False,False,False,True,True,False,0,0,0,92.1,0.0,106.8,0.0,929.3,0.0,1142.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,358,863598.4899999999,0.0,0.04000000000000001,0.0,185.86,0
20.0,1666.7,50.0,0.0,23.0,138.0,145.4,970.4,1108.4,True,False,False,False,True,False,False,False,True,3,1,0,0.0,138.0,0.0,145.4,0.0,970.4,0.0,1108.4,0.0,23.0,0.0,20.0,0.45999080018399635,0.013799715725856048,0.0,326,941676.1599999999,529.0,400.0,22319.2,19408.0,0
0.2,0.0,0.0,0.0,0.0,69.4,130.0,928.8,1105.0,False,True,True,False,False,False,False,False,True,0,0,0,69.4,0.0,130.0,0.0,928.8,0.0,1105.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,347,862669.44,0.0,0.04000000000000001,0.0,185.76,0
0.0,0.0,0.0,0.0,0.0,17.6,129.8,1031.2,1105.0,True,False,True,False,False,False,False,False,True,4,1,1,0.0,17.6,0.0,129.8,0.0,1031.2,0.0,1105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,1063373.4400000002,0.0,0.0,0.0,0.0,0
0.2,0.0,0.0,0.0,0.0,31.7,147.6,1025.5,1089.9,True,False,False,True,False,False,False,False,True,4,0,0,0.0,31.7,0.0,147.6,0.0,1025.5,0.0,1089.9,0.0,0.0,0.0,0.2,0.0,0.0,0.0,326,1051650.25,0.0,0.04000000000000001,0.0,205.10000000000002,0
54.0,1851.9,0.0,0.0,0.0,17.8,88.8,1307.7,1331.2,False,True,False,False,False,False,True,True,False,0,0,0,17.8,0.0,88.8,0.0,1307.7,0.0,1331.2,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,349,1710079.29,0.0,2916.0,0.0,70615.8,0
