,count,mean,std,min,25%,50%,75%,max,variance,cv
area,3803.00,8.89,17.26,0.00,0.10,0.50,11.35,260.00,297.91,194.12
manure,3803.00,1198.83,1676.28,0.00,0.00,0.00,2500.00,11976.00,2809910.00,139.83
urea,3803.00,17.26,30.26,0.00,0.00,0.00,33.30,150.00,915.90,175.36
npk,3803.00,22.21,48.58,0.00,0.00,0.00,0.00,300.00,2360.02,218.69
nitrogen,3803.00,10.38,17.31,0.00,0.00,0.00,18.40,91.45,299.75,166.76
rain_sow,3803.00,76.60,55.01,0.00,32.30,66.60,115.60,357.80,3026.60,71.82
rain_flow,3803.00,123.07,108.15,0.00,33.45,97.60,196.05,430.70,11696.83,87.88
rain_cycle,3803.00,919.38,160.33,443.40,803.90,925.40,982.40,1325.50,25705.72,17.44
rain_year,3803.00,1114.09,161.91,801.70,1062.20,1105.00,1288.70,1331.40,26215.38,14.53
yield,3803.00,2566.53,908.32,318.00,1915.60,2546.70,3142.90,5350.00,825041.66,35.39
annee,3803.00,2007.67,1.10,2006.00,2007.00,2008.00,2009.00,2009.00,1.20,0.05
