Modèle,R2_Test,RMSE_Test,MAE_Test
HistGradientBoosting,0.1811976377851575,821.101914353428,642.1078021904352
CatBoost (opt),0.1758969788564095,823.7553995711138,644.7643125221293
Gradient Boosting (opt),0.1752399747826556,824.0836976202171,643.5485834394703
Random Forest (opt),0.1674390847175355,827.9717720926301,649.830803274639
LightGBM (opt),0.1595480764424348,831.8862747571104,651.9959533480533
AdaBoost,0.1354514090269241,843.7275395744817,661.9048221228152
Decision Tree (opt),0.1328348559010331,845.0033441445585,660.6417080290513
SGD (Optuna),0.1059570903787969,857.9988442549846,676.9908869158651
Linear,0.1055163001891207,858.210327878993,
ElasticNet,0.105445077807695,858.2444942738904,
Ridge,0.1047837304644104,858.5616871226205,
Lasso,0.1046005148278298,858.6495395689194,
LinearSVR (Optuna),0.1025498960542826,859.6322048122992,678.5030551813155
LinearSVR (Optuna),0.102544127632511,859.6349674801822,678.4727326790482
