Modèle_concurrent,R2_concurrent,MAE_concurrent,Wilcoxon_stat,p_value,Significatif
LinearSVR (Optuna),0.07562597633950541,695.3660666362844,103297.0,3.2139740579160654e-12,Oui
SGD (Optuna),0.07976720383895997,693.3941794376406,105185.0,2.715888884958886e-11,Oui
Ridge,0.10478373046441047,678.4121889446545,111330.5,1.4654537998088033e-08,Oui
ElasticNet,0.10544507780769508,677.3985015121232,111806.5,2.2879785809194928e-08,Oui
Linear,0.10551630018912095,677.1814494827605,112143.5,3.1250794061853324e-08,Oui
Lasso,0.10460051482782984,677.1297371388993,112423.5,4.039957977438476e-08,Oui
KNN (Optuna),0.12814771500400124,667.8028617316396,124220.5,0.00031240056902579307,Oui
AdaBoost,0.1354514090269241,661.9048221228152,125399.5,0.0006271040251810155,Oui
LightGBM (opt),0.15954807644243485,651.9959533480533,127918.5,0.0024693706763280017,Oui
Random Forest (opt),0.16743908471753555,649.830803274639,131085.5,0.011041825229614523,Oui
Decision Tree (opt),0.13283485590103317,660.6417080290513,131267.0,0.011941496770412865,Oui
CatBoost (opt),0.17589697885640954,644.7643125221293,139897.5,0.20149922832331674,Non
Gradient Boosting (opt),0.17523997478265563,643.5485834394703,140641.5,0.23772781280458405,Non
