Feature,SHAP_mean_abs
interaction_rain_area,99.18165720280442
village_Antsahamamy,44.94911654399343
interaction_ca_rain_year,41.318307504934545
rain_year,37.89364984318385
soil_hillside,36.33563796154176
village_Ambohitsilaozana,35.13835256353868
area,32.792237293906005
rain_cycle,29.105390055942838
interaction_till_rain_year,28.675668292465115
sow_day_of_year,21.066569194743607
interaction_till_nitrogen,20.985877439289165
interaction_ca_rain_flow,19.67658371772936
interaction_till_rain_flow,12.779504055737352
ratio_N_manure,11.053728215121962
npk,10.202511530581182
rain_flow,9.0287732784155
rain_sow,8.706026677778732
interaction_ca_rain_cycle,8.618941623855518
nitrogen,7.681977408460512
interaction_ca_rain_sow,5.851618303294721
urea,4.9538511488762325
ratio_N_urea,2.685762764546232
x24d_bin,2.036692635791819
CA_year_num,1.4638176830140563
village_Ampitatsimo,1.4198692104102586
manure,0.5532325586463448
soil_lowland,0.5216910514887477
interaction_rain_nitrogen,0.5012517298505452
interaction_ca_area,0.26817013993949457
interaction_till_rain_cycle,0.23230332401576848
tillage_ca,0.0
tillage_till,0.0
interaction_till_rain_sow,0.0
village_Ambongabe,0.0
village_Ambohimiarina,0.0
glypho_bin,0.0
interaction_ca_nitrogen,0.0
interaction_till_area,0.0
total_npk,0.0
nitrogen_squared,0.0
rain_cycle_squared,0.0
area_squared,0.0
water_stress,0.0
