,count,mean,std,CV (%),min,25%,50%,75%,max,skewness,kurtosis
area,3803.0,8.891401525111753,17.260007875571034,194.12,0.0,0.1,0.5,11.350000000000001,260.0,4.92,42.41
manure,3803.0,1198.8314751511964,1676.2786176084342,139.83,0.0,0.0,0.0,2500.0,11976.0,1.35,1.5
urea,3803.0,17.258506442282407,30.263831258797456,175.36,0.0,0.0,0.0,33.3,150.0,1.71,2.14
npk,3803.0,22.213699710754668,48.5800196626908,218.69,0.0,0.0,0.0,0.0,300.0,2.33,4.88
nitrogen,3803.0,10.382419931632924,17.313430656241174,166.76,0.0,0.0,0.0,18.4,91.451,1.79,2.77
rain_sow,3803.0,76.59763344727845,55.014579337571114,71.82,0.0,32.3,66.6,115.6,357.8,0.77,0.08
rain_flow,3803.0,123.0652169339995,108.15190507623598,87.88,0.0,33.45,97.6,196.05,430.7,0.81,-0.48
rain_cycle,3803.0,919.382308703655,160.33003168301465,17.44,443.4,803.9,925.4,982.4,1325.5,0.6,0.17
rain_year,3803.0,1114.086037338943,161.9116273403868,14.53,801.7,1062.2,1105.0,1288.7,1331.4,-0.27,-0.85
yield,3803.0,2566.530660005259,908.3180378690123,35.39,318.0,1915.6,2546.7,3142.9,5350.0,0.15,-0.36
